"Taille","Exemplaire_ID","Maximum value","Counting sort","QuickSort","QuickSort_Seuil_Exp","QuickSort_Rand_Pivot-Seuil_Exp"
"1000","0","1000","0.0","0.0019919872283935547","0.001994609832763672","0.001695537567138672"
"1000","1","1000","0.0","0.0019941329956054688","0.0009975433349609375","0.0016954421997070312"
"1000","2","1000","0.0","0.0019948482513427734","0.0019941329956054688","0.0016954898834228515"
"1000","3","997","0.0","0.001997709274291992","0.0019948482513427734","0.0016953706741333007"
"1000","4","1000","0.0","0.0019948482513427734","0.001994609832763672","0.0016947031021118165"
"1000","5","1000","0.0","0.0009996891021728516","0.0019922256469726562","0.0016954660415649414"
"1000","6","1000","0.0","0.001995086669921875","0.001967191696166992","0.0016981840133666992"
"1000","7","1000","0.0","0.0019941329956054688","0.0019948482513427734","0.0016954421997070312"
"1000","8","1000","0.0","0.001995086669921875","0.0019943714141845703","0.0016954898834228515"
"1000","9","1000","0.0","0.0020232200622558594","0.0019974708557128906","0.0017950773239135743"
"1000","10","65429155","0.0","0.0019948482513427734","0.001994609832763672","0.0016954660415649414"
"1000","11","65419115","0.0","0.0020170211791992188","0.0019953250885009766","0.0016959190368652343"
"1000","12","65504656","0.0","0.0019948482513427734","0.001995086669921875","0.0016927480697631835"
"1000","13","65429274","0.0","0.001993894577026367","0.0019676685333251953","0.001697683334350586"
"1000","14","65450528","0.0","0.0019948482513427734","0.001997232437133789","0.0018947839736938477"
"1000","15","65482177","0.0","0.001992940902709961","0.0019953250885009766","0.0016955137252807617"
"1000","16","65448089","0.0","0.0019936561584472656","0.000997304916381836","0.0017953634262084961"
"1000","17","65482731","0.0","0.0009975433349609375","0.0019943714141845703","0.0016947031021118165"
"1000","18","65476800","0.0","0.001995086669921875","0.0019676685333251953","0.0017984628677368164"
"1000","19","65523544","0.0","0.001994609832763672","0.0009982585906982422","0.001795053482055664"
"1000","20","3914","0.0","0.01792454719543457","0.01795196533203125","0.0016954660415649414"
"1000","21","3942","0.0","0.020944833755493164","0.02094268798828125","0.0016927003860473632"
"1000","22","3979","0.0","0.008008480072021484","0.008974313735961914","0.0017923593521118164"
"1000","23","3954","0.0","0.005954265594482422","0.00501561164855957","0.0017922401428222656"
"1000","24","3996","0.0","0.0049893856048583984","0.004985809326171875","0.0016954660415649414"
"1000","25","3982","0.0","0.016959667205810547","0.019916534423828125","0.001798248291015625"
"1000","26","3997","0.0","0.00797891616821289","0.007977724075317383","0.00169525146484375"
"1000","27","3935","0.0","0.01695537567138672","0.015958786010742188","0.0017950296401977538"
