algo,serie,taille,temps
quick,testset1,100000,0.313165665
quick,testset1,100000,0.311165094
quick,testset1,100000,0.327124834
quick,testset1,100000,0.32512784
quick,testset1,100000,0.303188801
quick,testset1,100000,0.31116581
quick,testset1,100000,0.308143854
quick,testset1,100000,0.320115089
quick,testset1,100000,0.305183411
quickSeuil,testset1,100000,0.306177855
quickSeuil,testset1,100000,0.317147493
quickSeuil,testset1,100000,0.311167955
quickSeuil,testset1,100000,0.324105263
quickSeuil,testset1,100000,0.325131655
quickSeuil,testset1,100000,0.305212021
quickSeuil,testset1,100000,0.31415987
quickSeuil,testset1,100000,0.309173107
quickSeuil,testset1,100000,0.321141243
quickSeuil,testset1,100000,0.305211306
quickRandomSeuil,testset1,100000,0.30797379
quickRandomSeuil,testset1,100000,0.307773829
quickRandomSeuil,testset1,100000,0.311466861
quickRandomSeuil,testset1,100000,0.307377887
quickRandomSeuil,testset1,100000,0.314655471
quickRandomSeuil,testset1,100000,0.30787375
quickRandomSeuil,testset1,100000,0.309668899
quickRandomSeuil,testset1,100000,0.30797627
quickRandomSeuil,testset1,100000,0.31056931
quickRandomSeuil,testset1,100000,0.310466814
counting,testset1,500000,1.036259651
counting,testset1,500000,1.031216145
counting,testset1,500000,1.028226614
counting,testset1,500000,1.035239697
counting,testset1,500000,1.039191246
counting,testset1,500000,1.048165083
counting,testset1,500000,1.033236265
counting,testset1,500000,1.030244112
counting,testset1,500000,1.032266855
counting,testset1,500000,1.060163498
quick,testset1,500000,2.010621071
quick,testset1,500000,2.316365719
quick,testset1,500000,2.105397463
quick,testset1,500000,2.083457708
quick,testset1,500000,1.988715649
quick,testset1,500000,2.076145172
quick,testset1,500000,2.161221266
quick,testset1,500000,1.989709616
quick,testset1,500000,2.050516129
quick,testset1,500000,1.949784756
quickSeuil,testset1,500000,2.007601261
quickSeuil,testset1,500000,2.481253624
quickSeuil,testset1,500000,2.058495283
quickSeuil,testset1,500000,2.091376066
quickSeuil,testset1,500000,1.982691288
quickSeuil,testset1,500000,2.0806427
quickSeuil,testset1,500000,2.197123051
quickSeuil,testset1,500000,1.977710724
quickSeuil,testset1,500000,2.032594681
quickSeuil,testset1,500000,1.953775883
quickRandomSeuil,testset1,500000,2.003706598
quickRandomSeuil,testset1,500000,2.079285145
quickRandomSeuil,testset1,500000,1.936617279
quickRandomSeuil,testset1,500000,1.98399632
quickRandomSeuil,testset1,500000,2.020387125
quickRandomSeuil,testset1,500000,1.95340941
quickRandomSeuil,testset1,500000,1.927145362
quickRandomSeuil,testset1,500000,1.953275537
quickRandomSeuil,testset1,500000,1.95486815
quickRandomSeuil,testset1,500000,1.958364749
counting,testset2,1000,16.66542482
counting,testset2,1000,16.65844321
counting,testset2,1000,16.68537116
counting,testset2,1000,16.65442395
counting,testset2,1000,16.65445352
counting,testset2,1000,16.65944028
counting,testset2,1000,16.64747214
counting,testset2,1000,16.65146208
counting,testset2,1000,16.6285224
counting,testset2,1000,16.69332695
quick,testset2,1000,0.001994848
quick,testset2,1000,0.002017021
quick,testset2,1000,0.001994848
quick,testset2,1000,0.001993895
quick,testset2,1000,0.001994848
quick,testset2,1000,0.001992941
quick,testset2,1000,0.001993656
quick,testset2,1000,0.000997543
quick,testset2,1000,0.001995087
quick,testset2,1000,0.00199461
quickSeuil,testset2,1000,0.00199461
quickSeuil,testset2,1000,0.001995325
quickSeuil,testset2,1000,0.001995087
quickSeuil,testset2,1000,0.001967669
quickSeuil,testset2,1000,0.001997232
quickSeuil,testset2,1000,0.001995325
quickSeuil,testset2,1000,0.000997305
quickSeuil,testset2,1000,0.001994371
quickSeuil,testset2,1000,0.001967669
quickSeuil,testset2,1000,0.000998259
quickRandomSeuil,testset2,1000,0.001695466
quickRandomSeuil,testset2,1000,0.001695919
quickRandomSeuil,testset2,1000,0.001692748
quickRandomSeuil,testset2,1000,0.001697683
quickRandomSeuil,testset2,1000,0.001894784
quickRandomSeuil,testset2,1000,0.001695514
quickRandomSeuil,testset2,1000,0.001795363
quickRandomSeuil,testset2,1000,0.001694703
quickRandomSeuil,testset2,1000,0.001798463
quickRandomSeuil,testset2,1000,0.001795053
counting,testset2,5000,83.49467611
counting,testset2,5000,83.5844357
counting,testset2,5000,83.44680381
counting,testset2,5000,83.51761436
counting,testset2,5000,83.50265479
counting,testset2,5000,83.54454207
counting,testset2,5000,83.39491177
counting,testset2,5000,83.42685723
counting,testset2,5000,83.44680357
counting,testset2,5000,83.35504985
quick,testset2,5000,0.010969639
quick,testset2,5000,0.011972666
quick,testset2,5000,0.010968208
quick,testset2,5000,0.010970354
quick,testset2,5000,0.010971308
quick,testset2,5000,0.011937618
quick,testset2,5000,0.011968136
quick,testset2,5000,0.011968136
quick,testset2,5000,0.010976315
quick,testset2,5000,0.011972666
quickSeuil,testset2,5000,0.010970831
quickSeuil,testset2,5000,0.010967731
quickSeuil,testset2,5000,0.010978222
quickSeuil,testset2,5000,0.010970592
quickSeuil,testset2,5000,0.010970116
quickSeuil,testset2,5000,0.010970831
quickSeuil,testset2,5000,0.010970592
quickSeuil,testset2,5000,0.010970116
quickSeuil,testset2,5000,0.010969639
quickSeuil,testset2,5000,0.010973692
quickRandomSeuil,testset2,5000,0.010870886
quickRandomSeuil,testset2,5000,0.010969782
quickRandomSeuil,testset2,5000,0.011070132
quickRandomSeuil,testset2,5000,0.010871172
quickRandomSeuil,testset2,5000,0.011169958
quickRandomSeuil,testset2,5000,0.011768508
quickRandomSeuil,testset2,5000,0.01097064
quickRandomSeuil,testset2,5000,0.011466599
quickRandomSeuil,testset2,5000,0.010970449
quickRandomSeuil,testset2,5000,0.010870647
counting,testset2,10000,167.6326311
counting,testset2,10000,168.2230518
counting,testset2,10000,167.7463267
counting,testset2,10000,166.583437
counting,testset2,10000,167.272594
counting,testset2,10000,166.8626907
counting,testset2,10000,168.1873415
counting,testset2,10000,167.0342312
counting,testset2,10000,167.6565676
counting,testset2,10000,166.9235275
quick,testset2,10000,0.024906635
quick,testset2,10000,0.023935556
quick,testset2,10000,0.024933338
quick,testset2,10000,0.027924299
quick,testset2,10000,0.024930477
quick,testset2,10000,0.02593112
quick,testset2,10000,0.023935795
quick,testset2,10000,0.025928736
quick,testset2,10000,0.024933338
quick,testset2,10000,0.024961472
quickSeuil,testset2,10000,0.025929928
quickSeuil,testset2,10000,0.024961472
quickSeuil,testset2,10000,0.024933577
quickSeuil,testset2,10000,0.026929379
quickSeuil,testset2,10000,0.024935961
quickSeuil,testset2,10000,0.025926113
quickSeuil,testset2,10000,0.024933338
quickSeuil,testset2,10000,0.024963379
quickSeuil,testset2,10000,0.02495575
quickSeuil,testset2,10000,0.024934292
quickRandomSeuil,testset2,10000,0.023636746
quickRandomSeuil,testset2,10000,0.023935199
quickRandomSeuil,testset2,10000,0.0239362
quickRandomSeuil,testset2,10000,0.023637033
quickRandomSeuil,testset2,10000,0.023437142
quickRandomSeuil,testset2,10000,0.024135876
quickRandomSeuil,testset2,10000,0.024235153
quickRandomSeuil,testset2,10000,0.023733568
quickRandomSeuil,testset2,10000,0.02333827
quickRandomSeuil,testset2,10000,0.024235153
counting,testset2,50000,1145.090123
counting,testset2,50000,1146.198828
counting,testset2,50000,1149.226179
counting,testset2,50000,1146.816572
counting,testset2,50000,1147.389652
counting,testset2,50000,1146.550225
counting,testset2,50000,1147
counting,testset2,50000,1147
counting,testset2,50000,1146
counting,testset2,50000,1146
quick,testset2,50000,0.140620947
quick,testset2,50000,0.142618418
quick,testset2,50000,0.143619537
quick,testset2,50000,0.139654398
quick,testset2,50000,0.144610643
quick,testset2,50000,0.145610809
quick,testset2,50000,0.15258956
quick,testset2,50000,0.152591944
quick,testset2,50000,0.152595043
quick,testset2,50000,0.142617702
quickSeuil,testset2,50000,0.143615246
quickSeuil,testset2,50000,0.143615961
quickSeuil,testset2,50000,0.148599148
quickSeuil,testset2,50000,0.142589808
quickSeuil,testset2,50000,0.147578716
quickSeuil,testset2,50000,0.153586626
quickSeuil,testset2,50000,0.156583548
quickSeuil,testset2,50000,0.154587507
quickSeuil,testset2,50000,0.155553818
quickSeuil,testset2,50000,0.142619371
quickRandomSeuil,testset2,50000,0.145211339
quickRandomSeuil,testset2,50000,0.145208549
quickRandomSeuil,testset2,50000,0.144114661
quickRandomSeuil,testset2,50000,0.145111918
quickRandomSeuil,testset2,50000,0.143518829
quickRandomSeuil,testset2,50000,0.144513702
quickRandomSeuil,testset2,50000,0.144211221
quickRandomSeuil,testset2,50000,0.14431119
quickRandomSeuil,testset2,50000,0.147904348
quickRandomSeuil,testset2,50000,0.145211482
counting,testset2,100000,2347.591877
counting,testset2,100000,2342.378104
counting,testset2,100000,2394.713931
counting,testset2,100000,2360
counting,testset2,100000,2350
counting,testset2,100000,2370
counting,testset2,100000,2390
counting,testset2,100000,2350
counting,testset2,100000,2350
counting,testset2,100000,2345
quick,testset2,100000,0.317147732
quick,testset2,100000,0.302193403
quick,testset2,100000,0.318150759
quick,testset2,100000,0.320144176
quick,testset2,100000,0.318149328
quick,testset2,100000,0.308181286
quick,testset2,100000,0.305155993
quick,testset2,100000,0.325130224
quick,testset2,100000,0.323135614
quick,testset2,100000,0.328121901
quickSeuil,testset2,100000,0.31712389
quickSeuil,testset2,100000,0.305182457
quickSeuil,testset2,100000,0.319114447
quickSeuil,testset2,100000,0.322138786
quickSeuil,testset2,100000,0.321141005
quickSeuil,testset2,100000,0.312134743
quickSeuil,testset2,100000,0.305183887
quickSeuil,testset2,100000,0.326127291
quickSeuil,testset2,100000,0.325162649
quickSeuil,testset2,100000,0.330117464
quickRandomSeuil,testset2,100000,0.307480431
quickRandomSeuil,testset2,100000,0.306676912
quickRandomSeuil,testset2,100000,0.313760781
quickRandomSeuil,testset2,100000,0.310372543
quickRandomSeuil,testset2,100000,0.313464642
quickRandomSeuil,testset2,100000,0.312364507
quickRandomSeuil,testset2,100000,0.312563992
quickRandomSeuil,testset2,100000,0.317354298
quickRandomSeuil,testset2,100000,0.309469032
quickRandomSeuil,testset2,100000,0.312464237
counting,testset2,500000,5500
counting,testset2,500000,5500
counting,testset2,500000,5500
counting,testset2,500000,5500
counting,testset2,500000,5500
counting,testset2,500000,5500
counting,testset2,500000,5500
counting,testset2,500000,5500
counting,testset2,500000,5500
counting,testset2,500000,5500
quick,testset2,500000,1.948758364
quick,testset2,500000,1.93884325
quick,testset2,500000,1.988651752
quick,testset2,500000,2.004634619
quick,testset2,500000,2.116311789
quick,testset2,500000,2.043532133
quick,testset2,500000,2.005636692
quick,testset2,500000,2.033558607
quick,testset2,500000,1.933802128
quick,testset2,500000,1.995663166
quickSeuil,testset2,500000,1.953804016
quickSeuil,testset2,500000,1.92884469
quickSeuil,testset2,500000,1.977740526
quickSeuil,testset2,500000,2.086390257
quickSeuil,testset2,500000,2.110355139
quickSeuil,testset2,500000,2.023587227
quickSeuil,testset2,500000,2.017634869
quickSeuil,testset2,500000,2.07143116
quickSeuil,testset2,500000,1.93282938
quickSeuil,testset2,500000,1.975714445
quickRandomSeuil,testset2,500000,1.979605174
quickRandomSeuil,testset2,500000,1.952873397
quickRandomSeuil,testset2,500000,1.970426655
quickRandomSeuil,testset2,500000,2.005139709
quickRandomSeuil,testset2,500000,2.012317657
quickRandomSeuil,testset2,500000,1.978704882
quickRandomSeuil,testset2,500000,1.951676989
quickRandomSeuil,testset2,500000,1.951580143
quickRandomSeuil,testset2,500000,1.968734097
quickRandomSeuil,testset2,500000,1.944698596
counting,testset3,1000,0.002991438
counting,testset3,1000,0.002991438
counting,testset3,1000,0.002991438
counting,testset3,1000,0.002991199
counting,testset3,1000,0.00302124
counting,testset3,1000,0.002987146
counting,testset3,1000,0.002990246
counting,testset3,1000,0.002991915
counting,testset3,1000,0.003023386
counting,testset3,1000,0.00298357
quick,testset3,1000,0.017924547
quick,testset3,1000,0.020944834
quick,testset3,1000,0.00800848
quick,testset3,1000,0.005954266
quick,testset3,1000,0.004989386
quick,testset3,1000,0.016959667
quick,testset3,1000,0.007978916
quick,testset3,1000,0.016955376
quick,testset3,1000,0.008976936
quick,testset3,1000,0.020951986
quickSeuil,testset3,1000,0.017951965
quickSeuil,testset3,1000,0.020942688
quickSeuil,testset3,1000,0.008974314
quickSeuil,testset3,1000,0.005015612
quickSeuil,testset3,1000,0.004985809
quickSeuil,testset3,1000,0.019916534
quickSeuil,testset3,1000,0.007977724
quickSeuil,testset3,1000,0.015958786
quickSeuil,testset3,1000,0.007978201
quickSeuil,testset3,1000,0.019911766
quickRandomSeuil,testset3,1000,0.001695466
quickRandomSeuil,testset3,1000,0.0016927
quickRandomSeuil,testset3,1000,0.001792359
quickRandomSeuil,testset3,1000,0.00179224
quickRandomSeuil,testset3,1000,0.001695466
quickRandomSeuil,testset3,1000,0.001798248
quickRandomSeuil,testset3,1000,0.001695251
quickRandomSeuil,testset3,1000,0.00179503
quickRandomSeuil,testset3,1000,0.00179534
quickRandomSeuil,testset3,1000,0.001798534
counting,testset3,5000,0.014966488
counting,testset3,5000,0.014930248
counting,testset3,5000,0.014931202
counting,testset3,5000,0.013935328
counting,testset3,5000,0.014932156
counting,testset3,5000,0.013962507
counting,testset3,5000,0.014960527
counting,testset3,5000,0.014959574
counting,testset3,5000,0.013962507
counting,testset3,5000,0.013990641
quick,testset3,5000,0.067821741
quick,testset3,5000,0.032911777
quick,testset3,5000,0.028924942
quick,testset3,5000,0.027924299
quick,testset3,5000,0.043906689
quick,testset3,5000,0.065828323
quick,testset3,5000,0.035900831
quick,testset3,5000,0.036901236
quick,testset3,5000,0.054855108
quick,testset3,5000,0.030917168
quickSeuil,testset3,5000,0.071776867
quickSeuil,testset3,5000,0.03391242
quickSeuil,testset3,5000,0.030916929
quickSeuil,testset3,5000,0.029920578
quickSeuil,testset3,5000,0.044886351
quickSeuil,testset3,5000,0.066791773
quickSeuil,testset3,5000,0.03689599
quickSeuil,testset3,5000,0.037899017
quickSeuil,testset3,5000,0.054823399
quickSeuil,testset3,5000,0.031914949
quickRandomSeuil,testset3,5000,0.010873771
quickRandomSeuil,testset3,5000,0.010770917
quickRandomSeuil,testset3,5000,0.01067152
quickRandomSeuil,testset3,5000,0.010768199
quickRandomSeuil,testset3,5000,0.01067152
quickRandomSeuil,testset3,5000,0.010773945
quickRandomSeuil,testset3,5000,0.010671878
quickRandomSeuil,testset3,5000,0.011170244
quickRandomSeuil,testset3,5000,0.01087389
quickRandomSeuil,testset3,5000,0.010870647
counting,testset3,10000,0.028922319
counting,testset3,10000,0.028922319
counting,testset3,10000,0.028922558
counting,testset3,10000,0.028922558
counting,testset3,10000,0.028922558
counting,testset3,10000,0.027924538
counting,testset3,10000,0.027924538
counting,testset3,10000,0.028923273
counting,testset3,10000,0.028950214
counting,testset3,10000,0.028922319
quick,testset3,10000,0.080790043
quick,testset3,10000,0.108709097
quick,testset3,10000,0.116718531
quick,testset3,10000,0.08876276
quick,testset3,10000,0.08280158
quick,testset3,10000,0.061834574
quick,testset3,10000,0.105689526
quick,testset3,10000,0.110704184
quick,testset3,10000,0.075799704
quick,testset3,10000,0.063828945
quickSeuil,testset3,10000,0.083772182
quickSeuil,testset3,10000,0.108711004
quickSeuil,testset3,10000,0.118679762
quickSeuil,testset3,10000,0.09075737
quickSeuil,testset3,10000,0.084777594
quickSeuil,testset3,10000,0.062835455
quickSeuil,testset3,10000,0.108708858
quickSeuil,testset3,10000,0.115690231
quickSeuil,testset3,10000,0.077790976
quickSeuil,testset3,10000,0.066821337
