"Taille","Serie","Exemplaire_ID","Glouton","Prog_dynamic","heuristic_local"
"100","10","1","0.0","0","0"
"100","10","2","0.015622138977050781","0","0"
"100","10","3","0.0","0","0"
"100","10","4","0.0","0","0"
"100","10","5","0.0","0","0"
"100","10","6","0.0","0","0"
"100","10","7","0.0","0","0"
"100","10","8","0.015621662139892578","0","0"
"100","10","9","0.0","0","0"
"100","10","10","0.0","0","0"
"100","100","1","0.0","0","0"
"100","100","2","0.0","0","0"
"100","100","3","0.015645265579223633","0","0"
"100","100","4","0.0","0","0"
"100","100","5","0.015596866607666016","0","0"
"100","100","6","0.0","0","0"
"100","100","7","0.0","0","0"
"100","100","8","0.0","0","0"
"100","100","9","0.015653371810913086","0","0"
"100","100","10","0.0","0","0"
"100","1000","1","0.0","0","0"
"100","1000","2","0.0","0","0"
"100","1000","3","0.0","0","0"
"100","1000","4","0.015594482421875","0","0"
"100","1000","5","0.0","0","0"
"100","1000","6","0.0","0","0"
"100","1000","7","0.01564764976501465","0","0"
"100","1000","8","0.0","0","0"
"100","1000","9","0.0","0","0"
"100","1000","10","0.015619754791259766","0","0"
"1000","10","1","0.031213760375976562","0","0"
"1000","10","2","0.0624842643737793","0","0"
"1000","10","3","0.0937345027923584","0","0"
"1000","10","4","0.14058995246887207","0","0"
"1000","10","5","0.17924237251281738","0","0"
"1000","10","6","0.20307683944702148","0","0"
"1000","10","7","0.23432183265686035","0","0"
"1000","10","8","0.2655606269836426","0","0"
"1000","10","9","0.29680919647216797","0","0"
"1000","10","10","0.32804298400878906","0","0"
"1000","100","1","0.046866655349731445","0","0"
"1000","100","2","0.062482595443725586","0","0"
"1000","100","3","0.09372949600219727","0","0"
"1000","100","4","0.14056158065795898","0","0"
"1000","100","5","0.19134306907653809","0","0"
"1000","100","6","0.2030489444732666","0","0"
"1000","100","7","0.23434925079345703","0","0"
"1000","100","8","0.2499394416809082","0","0"
"1000","100","9","0.29680609703063965","0","0"
"1000","100","10","0.3124256134033203","0","0"
"1000","1000","1","0.04686164855957031","0","0"
"1000","1000","2","0.09370064735412598","0","0"
"1000","1000","3","0.10937857627868652","0","0"
"1000","1000","4","0.14058971405029297","0","0"
"1000","1000","5","0.15621471405029297","0","0"
"1000","1000","6","0.20307564735412598","0","0"
"1000","1000","7","0.24993896484375","0","0"
"1000","1000","8","0.26555871963500977","0","0"
"1000","1000","9","0.29680490493774414","0","0"
"1000","1000","10","0.31242895126342773","0","0"
"10000","10","1","3.0930163860321045","0","0"
"10000","10","2","6.232845783233643","0","0"
"10000","10","3","9.275778770446777","0","0"
"10000","10","4","11.950305223464966","0","0"
"10000","10","5","15.042366027832031","0","0"
"10000","10","6","17.746915340423584","0","0"
"10000","10","7","20.711466550827026","0","0"
"10000","10","8","23.457347631454468","0","0"
"10000","10","9","26.416672468185425","0","0"
"10000","10","10","29.114726305007935","0","0"
"10000","100","1","3.1700565814971924","0","0"
"10000","100","2","6.043788194656372","0","0"
"10000","100","3","9.294680118560791","0","0"
"10000","100","4","12.037916660308838","0","0"
"10000","100","5","15.365202903747559","0","0"
"10000","100","6","17.7755389213562","0","0"
"10000","100","7","20.97025203704834","0","0"
"10000","100","8","23.662216424942017","0","0"
"10000","100","9","26.289264917373657","0","0"
"10000","100","10","29.159364700317383","0","0"
"10000","1000","1","3.262962579727173","0","0"
"10000","1000","2","6.282907485961914","0","0"
"10000","1000","3","9.137179136276245","0","0"
"10000","1000","4","12.262735843658447","0","0"
"10000","1000","5","15.64605975151062","0","0"
"10000","1000","6","18.002116203308105","0","0"
"10000","1000","7","21.018171787261963","0","0"
"10000","1000","8","23.964455366134644","0","0"
"10000","1000","9","26.950006008148193","0","0"
"10000","1000","10","30.132476568222046","0","0"
